3,2,6985
3,2,8112
3,2,8120
3,2,999
3,2,1008
3,2,1009
3,2,1155
3,2,1175
3,2,1406
3,2,2588
3,2,3759
3,2,4083
3,2,4111
3,2,4114
3,2,4129
3,2,4131
3,2,4141
3,2,4150
3,2,4156
3,2,4188
3,2,4210
3,2,4228
3,2,5263
3,2,5422
3,2,5423
3,2,5448
3,2,5474
3,2,5476
3,2,5477
3,2,5482
3,2,5499
3,2,5505
3,2,5508
3,2,5521
3,2,5522
3,2,5523
3,2,5528
3,2,5537
3,2,5549
3,2,6693
3,2,6695
3,2,6697
3,2,6699
3,2,6707
3,2,6713
3,2,6716
3,2,6816
3,2,6847
3,2,6852
3,2,6863
3,2,6876
3,2,6878
3,2,6879
3,2,6884
3,2,6995
3,2,7005
3,2,7015
3,2,7020
3,2,7024
3,2,7025
3,2,7028
3,2,7031
3,2,7041
3,2,7043
3,2,7046
3,2,7070
3,2,7074
3,2,7075
3,2,7090
3,2,7095
3,2,7098
3,2,7109
3,2,7130
3,2,7131
3,2,7144
3,2,7157
3,2,7158
3,2,7167
3,2,7174
3,2,7181
3,2,8085
3,2,8088
3,2,8093
3,2,8099
3,2,8127
3,2,8135
3,2,8138
3,2,8141
